"se_MLE_beta1" "se_MLE_beta2" "se_MLE_gama1" "se_MLE_lambda1"
0.0565364516956096 0.113045384103928 0.112662616066688 0.635614824645366
0.0500891687069148 0.111989815448657 0.0977060997703883 1.44848659343987
0.0546710464499948 0.112282334789061 0.105931730736348 0.63729787512393
0.0480650592977482 0.099925315199372 0.10754896382722 0.653385226744424
0.0542892459348103 0.117123974630794 0.101608000728574 0.586024706735584
0.0589043133864935 0.106910669618346 0.117758513070765 0.448227654295281
0.0531540833904781 0.115170549158784 0.102411799704595 0.798847478388305
0.0612478742252257 0.10210358384142 0.133958082528152 0.519360521215095
0.0440499068301475 0.106291537603988 0.09316378819931 4.99080306243513
0.0581732387899401 0.108623721292597 0.115953705147521 0.494541850457135
0.0486939858098106 0.0945653850462011 0.114715966904989 0.469574572386299
0.0467623257009967 0.101398031869559 0.110307712779584 1.10549261758555
0.050158692706681 0.108590028613848 0.102639466894067 0.640245069348461
0.0508386226910904 0.111069957501345 0.0927276551335914 0.507855708398767
0.0528970303646954 0.115011260294392 0.0994605549594932 0.697670633640514
0.0504223526471335 0.107588226834066 0.10466657273358 0.597651422691199
0.0533093637710901 0.121571474948496 0.0912690536029599 0.708367826742999
0.0499078735794272 0.100597066261474 0.118172418460999 0.669448863591848
0.0585685214143064 0.116530544421975 0.110123121780426 0.496746705080639
0.0548123735003625 0.109253774726632 0.114794620438662 0.606930440892639
0.0564229974658828 0.111045441490907 0.112432636163942 0.48968408392304
0.0452451359735584 0.0916749546121748 0.12130854231763 0.619633735327873
0.0453768401416114 0.0950740383938811 0.106168096261605 0.520640100568869
0.0493564031829617 0.0923739962399235 0.132925184975081 0.546462524373372
0.0507397175778219 0.0970918655450714 0.118218320699288 0.495321374661128
0.051177834354721 0.111683838139389 0.106134546116149 0.895367654033773
0.0413198213637796 0.0883874806124813 0.109952670352265 0.679005101343287
0.0528247649559381 0.101550110947091 0.110743511125124 0.420492703119213
0.0456404766862598 0.0965986402769254 0.122301022889013 0.870004381572857
0.04985762856388 0.105538774872513 0.109797963594453 0.934867738696162
0.0458562289218534 0.0994204808494351 0.115599512235487 0.71664747451083
0.0449065574086139 0.0992705847218928 0.111029590851645 0.966606157956368
0.0533859717403731 0.106010308065881 0.118561898322708 0.577847157951401
0.0492709930630292 0.112962787004299 0.100246015592635 1.05207339997489
0.0524679942378374 0.114631267749942 0.108000439338732 0.774258651589661
0.0583380630687668 0.116848106380121 0.114989582499422 0.625297580812987
0.0536766203179398 0.113731801884563 0.0933803344500671 0.530809447430532
0.0504753682610115 0.107292181184682 0.103764761800462 0.530278510273824
